page_no|page_text|gloss_thing
236c| ѹстранишѧ сѧ• аще ли к͗то съврьшьно ѹмиленье имать• то чюеть сѧ отъ хлѣба живот͗наго пищѫ приемлѧ• лѹчьшѧго страха• пищѫ желаньꙗ нб҃снго• и въꙁдꙑханье и ѹтѣшение• и ѹмиленье пиваньꙗ• и раꙁѫма глѫбочаишѧ• ї бж҃ьи етеръ таинъ• ѹмиление сльꙁов͗нꙑ етерꙑ и тихꙑ мꙑсли• ср҃це приготоваеть носити• ѹдѹже по истинѣ вѣдѣти есть сѣмена• млт҃вьнаа•|
236d| съ сльꙁами въ ꙁемли срч҃нѣи сѣема• ѹпъваньꙗ ради жатвьнꙑꙗ радости• еже съ ѹмиленьемь и млт҃воѭ поѹченье раждаеть бж҃ье• и страхъ въ насъ• рече бо ꙁаконъ• сѣдѧ дома и ходѧ пѫтьмь и лѣжа и въстаꙗ• бѫди неподвижимъ• и прѣдъ очима твоима да навꙑкнеши боꙗти сѧ г҃а б҃а твоего• гл҃еть же и иѡвъ• доиде ми моление къ г҃ю• прѣмо же емѹ каплете ми очи• и анна|
237a| тѫжааше въ силомѣ и плакааше• и помоли сѧ къ г҃ю гл҃щи• аще приꙁьрѧ приꙁьриши на съмѣрение мое• и даси ми сѣмѧ мѫжа• и послѹша еꙗ г҃ь• и дасть еи прр҃ка самѹилѧ• и дрѹгаа + акимлѧа• плачѫщи сѧ и просѧщи• въ садѹ своемь о чадѣ• приꙗтъ ст҃ѫѭ дѣвѫ мариѭ• рождьшѫѭ по плъти г҃а б҃а и сп҃са нашего і҃у х҃а• и давꙑдъ• ѹслꙑши мл҃твѫ моѭ• и моление мое вънѫши•|+ анна
237b| сльꙁъ моихъ не прѣмлъчи• и ѹслꙑшанъ бꙑвъ рече• милостивъ г҃ь и правьдьнъ• ꙗко съмѣрихъ сѧ и сп҃се мѧ• и иꙁѧ д҃шѫ моѭ отъ съмрьти• и очи мои отъ сльꙁъ• и ноꙁѣ мои отъ въспоплъꙁениꙗ• сѣѭщеи бо сльꙁами въ радость пожьнѫть• тѣмьже ѹгождѫ прѣдъ г҃мь въ странѣ живѫщиихъ• и еже ходѧще хождахѫ и плакахѫ сѧ• мьнѫ ꙗко о нашемь плѣнении гл҃еть• прѣжде бо наѱанаа|
237c| въ насъ сотъкнѫшѧ сѧ• да и мꙑ ѹбо длъжьни есмъ• и ꙁа сѧ и ꙁа онꙑ горько плакати сѧ• прьвое еже ꙁа жьженье ст҃аго града ием҃а• и ꙁа прѣнесение ст҃аго крс҃та х҃а б҃а нашего въ перьсидѹ• и ꙁа погꙑбъшаꙗ въ толикꙑхъ бранехъ• ꙗко сътѣлесьни намъ сѫть и единовѣрьни• ꙗкоже и пр҃ркъ иоиль въпиеть• рꙑдаите гл҃ѧ чистителе• слѹжащеи олтарю• ꙗко пострада вьсѧ ꙁемлѧ•|
237d| плачите ст҃теле слѹжѧщеи г҃ю и рьцѣте• пощѧди г҃и люди своꙗ• и не даждь достоꙗниꙗ своего въ поношение обладати имь ꙗꙁ҃комъ• да не рекѹть къде есть б҃ъ ихъ• въ насъ есть еже ѹмолити неꙁълобиваго г҃а• ꙗкоже и пр҃къ софониꙗ ѹчить г҃лѧ• прѣдъложилъ ти е огнь и водѹ• на неже хощеши прострьреши си рѫкѹ• прѣдъ чл҃комь бо животъ и съмрьть• и еже аще иꙁволить|
238a| дасть сѧ емѹ• съгрѣшаѭщаго въ дш҃ѫ своѭ• кто оправьдить• аще не теплꙑ сльꙁꙑ съ ѹмиленьимь• жадаеть бо присно сп҃сениꙗ нашего благꙑ и м҃лсрдъи владꙑка• ꙗко послѹхѹеть ап҃лъ г҃лѧ• иже всѧ чл҃кꙑ хощеть сп҃сти• и въ раꙁѹмъ истиньнъи прити• ѱано же есть и въ еванъгельи еже ѿ лѹ҇ⷦ• и се жена въ градѣ• ꙗже бѣ грѣш͗ница• и ѹвѣдѣвъши ꙗко въꙁлежить г҃ь въ храминѣ фарисеѡвѣ•|
238b| принесъши алавастръ мура• и ставъши ꙁади при ногѫ его• плачющи начатъ мочити ноꙁѣ его сльꙁами и власꙑ главꙑ своеꙗ отирати• и облобꙑꙁаше ноꙁѣ его и маꙁаше муромь• и слꙑша отъ сп҃са• оставлѧѭть ти сѧ грѣси• томѹ сп҃сѹ нашемѹ слава• оставлѧѭщѹмѹ грѣхꙑ чловѣчѧ• сьде и въ бѫдѹщии вѣкъ АМИН|
238c| р҃и О ЧЬСТИ РОДИтель :  Ѥже чисти родивъшѧꙗ нꙑ• и въꙁдааниемь въꙁдати длъжьни есмъ• отъ естьствьнаго послѣдованьꙗ• и отъ бж҃ьꙗго ѹꙁаконеньꙗ• прьвое ѹбо ꙁане чѫвьствьнъии сь свѣтъ тѣми ѹꙁьрѣхомъ• потомь же и раꙁѹм͗нъи• сирѣчь еже въ г҃а нашего і҇ⷭу х҃а• кр҃щениемь раꙁѹмѣние• и ꙁа естествьнѫѭ ихъ любъве|
238d| и трѹдъ• егоже прѣтрьпѣваꙗ о въскръмлении ихъ• и печаль ѭже имѫть д҃нь и нощь ихъ ради• еда ч͗то невольемь ѹтък͗неть сѧ ихъ• и дѣлаѭще и трѹждаѭще сѧ• ѡ одежди и кръмѣ их͑• и сънискати имъ о ѹмрьтвьи• каꙗ ѹбо достоинаа въꙁдааниꙗ ꙁа си в͗сѧ• въꙁдати можемъ имъ• тѣм͗же ѹбо в͗сегда потъщимъ сѧ• ꙗже на чьсть и на слѹженье• и покои имъ съдѣвати•|
239a| паче же въ старость ихъ• да въ видѣньи чадъ своихъ породѧть сѧ• ꙗко и иꙗковъ ѹꙁьрѣвъ иѡсифа• бѫдѣмъ рьтници понѣ птицамъ рекомъимъ епопси• они бо егда видѧть родителѧ ихъ състарѣвъшѧ сѧ• и осльпъшѧ• то оскѫбѫть крилѣ родителемъ• и оближѫть очи их͗• и грѣѭть подъ своими крилꙑ гнѣꙁдо сътворьше• и ѭни бѫдѹть• родителе ихъ• гл҃ще родителемъ|
239b| своимъ• ꙗко и вꙑ дрѣвле створисте намъ• и трѹдисте сѧ дѣлаѭще и кръмѧще• и мꙑ такожде вамъ створихомъ• тако и мꙑ словесьни сѫще• не ꙁѣло ли паче въꙁлюбимъ родителѧ своꙗ• да не въꙁдъхнѹть ѹбо на нꙑ• непольꙁьно бо намъ се паче и врѣдовьно• и въ истинѫ• обрѣтаемъ бо сѧ о҃цедосадителе• и мт҃редосадителе• въ ꙁаконѣ ѱано есть• чьти оц҃а своего и мтр҃ь своѭ•|
239c| да благо тебѣ бѫдеть• и бѫдеши длъголѣтьнъ на ꙁемли• и ꙁълословесѧ оц҃а и мт҃рь• съмрьтью да ѹмьреть• такожде и исаиꙗ гл҃ѧи оц҃ю ч͗то родиши• и м҃ти ч͗то болиши• раꙁѹмѣѭ аꙁъ ꙗко жестокъ еси• и жила желѣꙁна вꙑꙗ твоꙗ• инъ же• чьтꙑи оц҃а• въꙁдрадѹеть сѧ о чадѣхъ• и въ дн҃ь млт҃вꙑ своеꙗ послѹшанъ бѫдеть• и пакы• млт҃ва оч҃а• ѹтврьждаеть домꙑ|
239d| чадъ• клѧтва же мтр҃нѧ искоренѧеть до основаниꙗ• и павлъ• чада послѹшаите родитель вашихъ о г҃и• се есть рече правьдьно• чьти о҃ца своего и мт҃рь своѭ• еже есть ꙁаповѣдь прьваꙗ въ обѣтованиихъ• и пакꙑ• чада да ѹчать сѧ• прѣжде свои домъ бл҃говѣрьимь строити• и чьсти въꙁдати родителемъ: се бо ѥсть добро и приꙗтьно прѣдъ б҃мь: и притъчьникь:|
240a| с҃нъ коварьнъ послѹшьливъ о҃цѫ• с҃нъ ослѹшьливъ• погꙑбѣли бѫдеть• и пакꙑ• ꙁълословѧи о҃ца и м҃трь• ѹгашаеть свѣтильникъ свои• и пакꙑ иже нѫдить о҃ца ли мт҃рь• и м͗нить сѧ не съгрѣшѧꙗ• сь причастьникъ есть морю нечьстивѫ• то же и г҃ь къ фарисѣѡмъ• поч͗то вꙑ прѣстѫпаете ꙁаповѣдь бж҃ьѭ• ꙁа прѣдаание ваше• б҃ъ бо ꙁаповѣда г҃лѧ• чьти о҃ца своего и мт҃рь своѭ• и ꙁълословесѹꙗї|
240b| о҃ца ли мт҃рь съмрьтьѭ да ѹмьреть• вꙑ же гл҃ете иже колижьдо речеть о҃цѫ или мтр҃и и коварьнъ• еже есть даръ• иже колижьдо отъ мене• и польꙁевалъ сѧ еси• не поч͗теть о҃ца своего ни мт҃ре• нъ си ѹбо довъльна прѣдъставити• ꙗко длъжьни есмъ• в͗сѫ чьсть отъдаꙗти родителемъ нашимъ• подобаеть же и сего не невѣдѣти• ꙗко не тъчьѭ плътьнꙑхъ родитель• сихъ истѧꙁаеми|
240c| есмъ• нъ и дхв҃нꙑмъ нашимъ оц҃емъ• длъжьни есмъ большѫ чьсть• и слѹжьбѫ творити• да блг҃ние бж҃ье ихъ ради наслѣдѹемъ• не хѹжде бо и ти трѹждаѭть сѧ насъ ради• паче и ꙁѣло большьми• понеже ѹбо они плътьнѣ и• сьи же дхв҃нѣ ны раждаѭть• симъ же в͗сѣмъ не тъчьѭ словом͗ нъ и дѣломь г҃ь нашь иꙁѫчаеть нꙑ• бѣ бо рече повинѫꙗ сѧ|
240d| мт҃ри и о҃цѫ его• и на крс҃тѣ къ ѹченикѹ• се м҃ти твоꙗ• и къ мт҃ри се с҃нъ твои• емѹже слава въ вѣкы АМИН р҃ѳ ⁘ О ТОМЬ ѤЖЕ ГОВѢТИ СТАРЦЕМЪ ⁘ И еже говѣти старьцемъ• ꙁѣло годѣ есть б҃ѹ• и члвк҃мъ похвально• и еже длъжнѫемѹѭ чьсть въꙁдаати|
241a| старьцемъ• такожде б҃ѹ ѹбо благоприꙗт͗но• намь же ꙁѣло потрѣбно и польꙁ͗но• аще бо и мы толикоже лѣтъ поживемъ• то тожде ѹбо въꙁдаание имѣти въч͗немъ• аще ли беꙁгодномь въꙁдрастемъ• отидемъ отъсѫдѹ• то имамъ г҃а нашего мьꙁдовъꙁдателѧ• и тъ ѹбо имьже мьꙁдоподатель есть• любо вь старости любо въ ѭности• рече бо• имьже обраꙁомь|
241b| сътвориши бѫдеть ти• прьвꙑи ѹбо моси ꙁаповѣдаеть гл҃ѧ• отъ лица сѣда въстани• и почьти лице старьче• иѡвъ же• въ м͗ноꙁѣ лѣтѣ мѫдрость• а въ м͗ноꙁѣ житии хѫдожьство• и инъ• вѣньць старьцемъ многое искѫшение• и похвала имъ страхъ г҃нь• и павлъ тимотѹ• стар͗цѫ не створи пакости• нъ ѹтѣшаи ꙗко о҃ца• нъ вьсѧко речеши ми• подобаеть|
241c| старцемъ трѣꙁвьниимъ бꙑти чистомъ• съдравѫѭщиимъ вѣроѭ и любъвьѭ по ап҃лѹ• старость бо чьстьна есть не многолѣтьна• ни числомь лѣтъ съчьтет͗ сѧ• сѣдины же сѫть мѫдрость чл҃комъ• и лѣто старости• житье бескврьн͗но по книгамъ• сего не намъ есть сѫдити• нъ искѹшаѭщѫмѹ ср҃ца нашѧ б҃ѹ• намъ же есть въꙁдаати|
241d| длъгꙑ• емѹже страхъ• емѹже чьсть• не тъчьѭ бл҃гꙑмъ• и смотрьливъимъ• нъ и ꙁълꙑимъ• и братолюбиемь въ себѣ любьꙁни• чьстьѭ дрѹгъ дрѹга вѧщьшѧ творѧ• ѱано бо есть• с҃не аще мѹдръ бѫдеши• себѣ бѫдеши мѫдръ• и искрьниимъ• аще ли ꙁълъ бѫдеши• единъ почрьпеши ꙁълаа• такожде и петръ• юнии покорите сѧ старьцемъ• вси же себѣ повинѹѭще сѧ съмѣрение|
242a| сътѧжите• ꙁане б҃ъ гръдъимъ противить сѧ• съмѣренымъ + даеть благодѣть• съмѣрите сѧ подъ крѣпъкоѭ рѫкоѭ бж҃ьеѭ• да вꙑ въꙁнесеть въ врѣмѧ• лѣпо ѹбо есть намъ крьстьꙗнꙑмъ• в͗сѣмъ въꙁдаꙗти длъгꙑ• семѹ бо отъ самого г҃а и б҃а сп҃са нашего іс҃у х҃а кажеми есмъ• ꙁа неиꙁдреченьное къ намъ сънитье его• не достоинова бо прити къ иѡанну҇ⷪ|+ же
242b| кр҃ститъ сѧ отъ него• онъ же бранѧше емѹ г҃лѧ• аꙁъ трѣѭ отъ тебе кр҃стити сѧ• а ли тꙑ грѧдеши к͗ м͗нѣ• вл҃ка же рабѹ• остани нꙑнѧ• тако бо есть лѣпо намъ съврьшити в͗сѫ правьдѹ• томѹ съврьшителю всемѹ добрѹ слава въ вѣкꙑ вѣком АМИН р҃ї ⁘ О ДЛЪГОТРЬПѢНИИ ⁘|
242c| ⁘ И СКОРОгнѣвии ⁘ Вс͗ѧ ѹбо добрꙑꙗ дѣтѣли хвальнꙑ• и благоприꙗт͗нꙑ• а трьпѣливъи и беꙁгнѣвьливъи• сь прѣмѫдръ и раꙁѹмивъ• неоплаꙁивъ и кротокъ• таковꙑи всѫдѹ ѹкрашенъ есть• и отъ своего длъготрьпьꙗ• ꙁьдание искрьниимъ бꙑваеть• и обрѣтаеть сѧ чадо длъготрьпѣливаго• носѧщаго присно съгрѣшениꙗ|
242d| нашѧ• бѫдѣте бо рече съврьшени ꙗко и о҃ць вашь нбс҃нꙑи• ꙗкоже бо источьникъ тихъ вьсѣмъ приходѧщиимъ• сладъко питье даваеть• тако трьпѣливъи мѫжь• трьпѣливаго лице и обꙑчаи присно съпрѧтано• и очи его тихо глѧдаета• трьпѣвъ мѫжь м͗ногъ въ мѫдрости• а напраснодш҃нъи крѣпокъ беꙁѫмьль• трьпѣливъи тихъ• беꙁмѹтьнъ•|
243a| носьливъ присно обрѣтаеть сѧ• своихъ в͗сегда смотрѧ• а не искрьнѧго прѣгрѣшеньи и пекꙑ сѧ како ѹгодити б҃ѹ• аще ли к͗то трьпѣли бѫдеть• то д҃хъ ст҃ъи въселить сѧ въ нь• чистъ не омрачаемъ• отъ иного ꙁъла дх҃а• нъ въ пространѣ живꙑ радѹеть сѧ съсѫдомь въ немьже живеть• и послѹжить г҃ю тихостьѭ многоѭ• аще кое острогнѣвъе|
243b| наидеть• абье д҃хъ ст҃ъи въстѫжитъ• не имъ мѣста чиста• и ищеть отъстѫпити• ꙁане не имать мѣста слѹжити г҃ю• ꙗкоже хощеть• въ трьпѣливѣмь б҃ъ живеть• а въ напраснѣмь диꙗволъ• обѣма же дх҃ома въкѹпѣ живѫщема нестроино есть• и ꙁъло чл҃кѹ въ немьже живете оба д҃ха• аще бо въꙁьмъ пелꙑна мало въ съсѫдъ медвьнъ|
243c| вълѣеши• то не вьсь ли медъ прокѹдѣеть• и толико меда отъ мала пелꙑна погꙑбнеть• погѫбить бо сладость и горькъ бѫдеть• и не имать хвалꙑ отъ вл҃дкꙑ своего• ꙁане огорьчаеть• видиши ли ꙗко трьпѣлье• сладъко есть паче меда• и благопотрѣб͗но г҃ю• а напрасное горько и непотрѣб͗но есть• аще ѹбо съвъкѫпить напрасние и длъготрьпие• то оскврьнѧеть|
243d| длъгод҃шье• и не бѫдеть потрѣб͗но б҃ѹ моление его• острогнѣвье бо ꙁъло сꙑ раꙁвращаеть рабꙑ бж҃ьꙗ тождедѣаньꙗ• егда бо видить чл҃кꙑ строинꙑ сѫща• вътъкнеть сѧ въ ср҃дце чл҃кѹ• и ни отъ чесоже гнѣваеть сѧ житиискъихъ ради вещии• или о брашьнѣхъ• или малословье етеро въпаде сѫетьно• или о дааньи и о въꙁѧтьи• или о таковъихъ вещехъ• си бо всѧ ѭродьна сѫть•|
244a| и тъщетьна рабомъ бж҃ьемъ• а трьпѣние велико есть и крѣпъко• имѣꙗи силѹ многѫ и обильнѹ• и веселѧ сѧ и бес печали сꙑ славить б҃а• нич͗соже в͗ себѣ имꙑ горька• кротъко и млъчаливо• се ѹбо длъготрьпье живеть• съ имѫщиими• вѣрѹ в͗сѫ цѣлѹ• а напрасние беꙁѹм͗но есть• таче отъ беꙁѹмьꙗ есть горесть• отъ ꙗрости же горесть и гнѣвъ• отъ гнѣва вражьда•|
244b| с҃тъи ѹбо д҃хъ• ꙗко мѧкокъ сꙑ• и не имꙑ обꙑчаꙗ съ жестокъими и ꙁълъимь д҃хмь• отидеть отъ чловѣка таковаго• и ищеть въселить сѧ съ трьпѣливъимь• и бѫдеть чл҃къ тъщь д҃ха праведьнаго• и в͗сь осльпаеть отъ съмꙑсла благаго• рече же и соломонъ• лѹче мѹжь трьпѣливъ• крѣпъка• и ꙗкоже искѹшаеть сѧ ꙁлато и срѣбро въ пещи• тако иꙁбьранаа|
244c| ср҃ца искѹшаеть б҃ъ по книгамъ• и пакꙑ• кротъкодш҃ьнъ мѫжь погашаеть сѫдъ• и пакꙑ иже щедить слово• испѹстити жестоко раꙁѹмивъ• и пакꙑ чадо• аще пристѫпиши работати г҃ю• ѹготови дш҃ѫ своѭ въ напасть• ѹправи ср҃це свое и сътрьпи• в͗се же аще наведеть + на тѧ приими даръ• и въ иꙁмѣненꙑхъ• мѣрениꙗ твоего длъготрьпи•|+ сѧ
244d| вѣрѹи емѹ и подъимѹть тѧ• и мꙑ ѹбо братье длъготрьпиимъ поимъ съ двд҃омь• искѹси мѧ и ѹвѣждь ср҃це мое• испꙑтаи мѧ и поꙁнаи стьꙁѧ моꙗ• и ѹвѣждь аще пѫть беꙁаконеньꙗ въ м͗нѣ есть• и настави мѧ на пѫть вѣчьнъи• ꙗко аꙁъ въ неꙁълобьи моемь ходихъ• иꙁбави мѧ г҃и и помилѹи мѧ• и мѧ же ꙁа неꙁлобѫ моѭ приꙗтъ• и ѹтврьди мѧ|
245a| прѣдъ собоѭ въ вѣкъ• гл҃еть же и соломонъ• трьпѣливъ мѫжь мѫдръ• и несъмꙑсльнѫ въпрошьшѫ прмдр҃сти• прм҇ⷣсть емѹ въмѣнить сѧ• сѣтована же и глѹха к͗то себе сътворь• непьщѫеть прѣмѫдръ бꙑти• и пакꙑ• милостивъ мѫжь длъготрьпить• и иꙗковъ• потрьпите братье• до пришиствьꙗ г҃нѧ• се дѣлатель жидеть• драгаго плода ꙁемлѧ трьпѧ о немь• дон͗деже|
245b| прииметь дъждь ранъ и поꙁдьнъ• потрьпите и вꙑ притъчѧ приимѣте• ꙁълострастьꙗ и трьпѣньꙗ пр҃кꙑ• и въ еванъгелии п͗сано есть• видѣвъша же рече ѹченика• иꙗковъ и їѡанъ ꙗко не приꙗшѧ ихъ самарѧне• рѣста г҃ю• хощеши ли да речевѣ огнѫ съ нб҃се и погѹби ꙗ• ꙗкоже и илиꙗ створи• обращь же сѧ іс҃ъ• ꙁапрѣти има и рече• не вѣста коего д҃ха еста• с҃нъ|
245c| бо чл҇ⷡчь нѣсть пришьлъ д҃шь чл҃чь погѹби нъ спс҃тъ• емѹже слава въ вѣкꙑ вѣкомъ АМИН рі҃а ⁘ Ꙍ ИГОУМЕНѢхъ:  Рѣшѧ книгꙑ• ꙗже начатъ іс҃ъ творити же и ѹчити• прьвѣе сътвори ти тако наѹчи• такожде и самъ ꙁаповѣдаеть г҃лѧ• иже створить и|
245d| наѹчить• съ великъ наречеть сѧ въ црс҃твьи небесьнѣмъ• приемлѧи отъ г҃а дѹшѧ• многа подвига трѣбѹеть• о обладаемꙑхъ ꙗко вѣдꙑ иде ꙁа нѧ• подъиметь бѣдѹ и отъвѣтъ• не хѹжде своего• емѹже бо и дашѧ• многа лишьша въспросѧть отъ него• длъжьнъ ѹбо есть пастꙑрь в͗сь ѹмомь и окомь бꙑти• да ни едино порѹченъихъ емѹ питѣньи не приꙗто|
246a| бѫдеть ꙁа лѣность• или лишаиво отъ помꙑшленьи• или краставо съложениемь ихъ• или хромо неподобномь стѹпаниемь• или кръно ослѹшаниемь• или слѣпо ꙁъломь въꙁорокомь• ꙗкоже ѹбо рѣхъ• вѣдꙑ ꙗко слово ꙁа нѧ прииметь• вельми длъжьнъ есть бъдѣти о стадѣ своемь• ꙗко хꙑтръ врачь• подобно есть комѹжьдо ихъ прилежьно творити•|
246b| вѣгодъи ѹбо игѹменъ• не оставить ꙗꙁвьнѹ быти ѹченикѹ• ꙗꙁвьна же бꙑвъша исцѣлить скоро• тꙑ ѹбо игѹменъ въорѫжи прохраньливъими словесꙑ своꙗ ѹченикꙑ• и въбрьни• обѣщаниемь бѫдѹщиихъ благъ• огради щитомь вѣрꙑ истин͗нꙑ• и съврьши ѹпъваниемь еже въ х҃а• обножи ноꙁѣ еван͗гельскъими ѹченьи• и прѣпоꙗши|
246c| чрѣсла цѣломѫдрьꙗ словесꙑ• даждь мечь въ рѫкѫ на страсти• ꙗрость острѫ• и противи сѧ плъкѹ страстьи• и сластьи• не двигни гнѣва на съгрѣшьша ѹченика• нѣсть бо подобьно ѹꙗꙁвити• прѣжде иꙁлѣченьꙗ дрѹжьнѧ• нъ бе-ꙁълобꙑ исправлѧи таиное• ибо и врачь лѣкѹеть• ѹврѣдь не недогодѹеть же неволеѭ въ ꙗꙁѫ въпадъшаго•|
246d| ꙗкоже ѹбо врачь рѣжа беꙁ гнѣва се творить• тако и ѹчитель обличаꙗ• не примѣшаꙗ къ обличениѭ гнѣва• ни пакꙑ ꙁа прѣкословесѧщѧꙗ прѣмлъча подобнаго• да не единого врѣдь на многꙑꙗ въꙁидеть• ни подобаеть длъготрьпѣти• ни искати своеꙗ польꙁѧ• нъ м͗ногъихъ да спс҃ть сѧ• ни пакꙑ приимати въ повинованьи твоемь сѫщаго|
247a| гл҃щѧ• даждь ми власть етеро врѣмѧ къ добрѣ дѣтѣли• сьѭ или сьѭ вещь искѹсити• ти тако искѹсити• еже бо тако гл҃еть ꙗвѣ• ꙗко своѭ съврьшаеть волѹ• и обѣтьи повинованиꙗ ѿмещеть• трѣбѣ же и сего чаꙗти въ трьпѣньи• питѣꙗи бо спѣш͗нѣ• повиновавъшѧꙗ сѧ словесемъ бж҃ьемъ• да ѹготовить плещи свои на ранꙑ мꙑсльнꙑꙗ• и в͗сѧ напасти да подъиметь|
247b| добле• бꙑваеть бо ꙗко ѹчитель• въ бечьстье въпадаеть сѧ• мꙑ бо рече бе-чьсти• и пакости приемлемъ• стрѣкателъмь• вꙑ же крѣп͗ци и славьни бꙑсте• подобаеть ѹбо бж҃ьѭ чл҃кѹ на в͗се дѣло благо и слово• приготовленѫ бꙑти и ѹкрашенѫ• и бл҃гообраꙁьнѣ• и по чинѫ в͗се творити• на обраꙁъ своихъ мьньшинъ• игѹменъ отъ дѣловьнаго начальꙗ• наричеть|
247c| сѧ игѹменъ• имѧ бо просто не въводить въ црс҃тво небс҃ное• ни слово беꙁдѣльно• польꙁѹеть слꙑшащѫмѹ• нъ дѣание сильно• истин͗на пастѹха• ѹчителѧ ѹкаꙁѹеть• створьи бо единѫ отъ ꙁаповѣдь и наѹчивъ• сь великъ наречеть сѧ въ црс҃твии нбс҃нѣмь• и раꙁарѧꙗи беꙁдѣльимь ꙁаповѣдь• и ѹчѧ беспод͗нъимь словесемь• малъ наречеть|
247d| сѧ• паче же и напа бѣгѹнива приеметь сѫдъ• влъкѹ расхꙑщаѭщѫ стадо его и распѫждаѭщѹ• трѣбѣ ѹбо емѹ есть въ в͗семь благорасѫдивѫ бꙑти• и повелѣвати же кротъцѣ не нѹждьнѣ• нъ вольнѣ• ослѹшаемъ же длъготрьпѣти и отъраждати• да не ѹслꙑшить отъ дв҃да• съꙁидаꙗи трѹдъ на повелѣние• и отъ соломона• ѭтробꙑ нечьстивъихъ|
248a| беꙁ милости• нъ паче да слꙑшитъ• смотрьнѣ раꙁѹмѣваи д҃ше стада своего• и пристави ср҇ⷣце свое своихъ стадѣхъ• и ѹпасеть правьдникъ д҃шѫ скотъ своихъ• подобаеть же пакꙑ не прѣмлъчавати грѣхованꙑ ихъ• с҃не бо рече чл҃чь• блюстелѧ дахъ тѧ домѹ иі҃левѹ• аще ѹбо видить стражь орѫжье грѧдѹще• и въстрѹбить• ти слꙑшавъи не съхранить сѧ•|
248b| то кровъ его на главѣ его• и блюстель аще видить орѹжие• кровъ его иꙁ-д-рѹкы стражевꙑ иꙁищѫ ꙋвѣдѣвъше бо игѹмени• прилежѧщѫѭ вамъ о ѹченицѣхъ бѣдѹ• бъдромь ѹм͗номь окомь• прѣсѣщѧѭще стада словесьнаго г҃нѧ• бѫдѣте по иꙗковѹ• съгараѭще ꙁноемь дьньѭ и ледомь нощьѭ• и да отъстѹпить сонъ отъ очьѭ вашеѭ• да не ꙁвѣремь|
248c| истравлено бѫдеть• ниединоже отъ овьчатъ• блюдѣте сѧ да не ѹслꙑшите се аꙁъ на пастѹхъ• и въꙁищѹ овьць своихъ отъ рѹкъ ихъ• не иꙁискашѧ бо пастѫси овьць моихъ• и пасошѧ сѧ сами• а овьць моихъ не пасѧ• и иеремиемь• о пастѹси• погѹблѧѭщеи и растачаѭщеи овьца паствинꙑ моеꙗ• се аꙁъ мьщаѭ васъ• и на ꙁълаа начинаньꙗ|
248d| вашѧ• мѹжа ѹбо съврьшена говѣина• и подвижьника есть слѹжение• ꙗко да бꙑ видѣлъ хѹдожьнаа области братьеѭ• по гл҃ющиимъ к͗нигамъ• игѹмена ли тѧ поставишѧ• не въꙁноси сѧ• попьци сѧ и тако сѧди• и в͗сѫ потрѣбѫ своѭ створь въꙁлѧꙁи• рече же и гедеонъ тремъ сътомъ борющиимъ сѧ съ нимь• отъ мене ѹꙁьрите• и тако створите• такожде|
249a| и авимелехъ• въꙁьмъ брѣмѧ дръвъ• и въꙁложь на рамѣ свои рече сѫщиимъ съ нимь людемъ• ꙗкоже видиши мѧ творѧща• творите и вꙑ• и ѡ ѡсифѣ пѣсньникъ• постави и г҃а домѹ своемѹ• и к͗нѧꙁѧ в͗семѹ сътѧжаниѭ своемѹ• да наѹчить к͗нѧꙁѧ его ꙗко самъ сѧ• и старьца его ѹмѫдрить• и павлъ• накаꙁаѭще в͗сего чл҃ка• и ѹчаще вь в͗сѫ мѫдрость•|
249b| да ѹстроимъ в͗сего чл҃ка• съврьшена о х҃ѣ с҃ѣ• въ ньже и трѹждаѭще сѧ и подвиꙁаѭще сѧ• и тимотѹ• вънимаи чьтеньѭ ѹченьѭ ѹтѣшеньѭ• прилежи ихъ• и ефесиемъ• пом͗ните рече• ꙗко три лѣта не почихъ д҃нь и нощь• съ сльꙁами ѹча единого когож͗до васъ• и пакы сребрѹ ли ꙁлатѹ ли риꙁамъ• ниединомѹже въсхотѣхъ сами вѣсте• ꙗко трѣбованиѭ|
249c| моемѹ• и сѫщиимъ съ м͗ноѭ послѹжисте рѫцѣ си• в͗сѧ съкаꙁахъ вамъ• ꙗко тако трѹждаѭще сѧ• подобаеть подъимати немощьнꙑꙗ• такожде и їгѹменъ обраꙁъ да бꙑваеть• ставъ всеѭ правьдоѭ• и житиимь ст҃ꙑимь прп҃дбнѣ• и правьд͗нѣ живꙑ• съблюдаꙗ елико сѫть пр҃чста• елико говѣина• еже добродѣанье и еже похвала• еже благославьно|
249d| польꙁѫ исправление• да бꙑваеть отъ него мьщати емѹ• мѣста в͗сѣмь прилежаниемь дх҃ов͗нꙑмь пещи сѧ совъкѹплениемь ѹдобьнꙑмь• егоже нич͗тоже добрѣе• в͗сѧ носити ꙗкоже и того г҃ь• в͗сѧ приимати любовьѭ• млт҃вѹ дѣати о в͗сѣхъ непрѣстанно• просити раꙁѹма дх҃вна на расмотрение в͗семѹ польꙁьнѹмѹ• бъдѣти и пещи сѧ о|
