3563,кьнігъі
864,німі
15,і
349 1991,кръ|штааше
103,бѣ
41,же
1455,іоан
349 1403,кръ|стѧ
39,въ
10 68 69 96,е|нъ|но|нѣ
512 198,блі|зь
2470 105,салі|ма
86,ѣко
1158,водъі
706,многъі
692,бѣахѫ
247,тоу
15,і
78 2939,прі|хождаахѫ
15,і
815 2941,кр|штаахѫ
57,сѧ
46,не
37,оу
66,бо
103,бѣ
1621 3060,въса|жденъ
39,въ
1849 777,темь|ніцѫ
1058,іоанъ
649,бъіс
41,же
2412 161,сътѧза|ніе
179,от
951,оученікъ
520 1840,іоа|новъ
54,съ
892,іюдеі
11,о
437 3193,очі|штеніі
15,і
823,прідѫ
260,кь
4093,іоаноу
15,і
390,рѣшѧ
119,емоу
3541,равві
182,іже
103,бѣ
54,съ
1081,тобоѭ
47,на
11 760,о|номъ
1354,полоу
2227 3067,іер|дана
862,емоуже
183,тъі
1967 218 1481,послоу|шь|ствова
131,сь
180,оубо
815 4078,кр|штаетъ
15,і
1190,въсі
979 31,грѧдѫ|т
260,кь
321,немоу
474,отъвѣштавъ
1058,іоанъ
120,рече
46,не
612,можетъ
1119,члкъ
78 10 1102,прі|е|маті
1150,нічесоже
163,аште
481,нѣстъ
2537,дано
119,емоу
54,съ
2115,въіше
131,сь
1414,нбсе
138,въі
1485,самі
485,мнѣ
547 65 35 514 351,съвѣдѣ|те|л|ствоу|ете
86,ѣко
710,рѣхъ
1915,нѣсмъ
231,азъ
62,хъ
68,нъ
86,ѣко
3030 68,посьла|нъ
473,есмъ
1602,прѣдь
595,німь
2584,імѣѧі
1505 339,невѣ|стѫ
3791,женіхъ
140,естъ
16,а
826 300,дро|гь
2579 2946,жені|ховъ
781,стоѧ
15,і
562 23,послоуша|ѧ
102,его
2387,радостіѭ
938 217,радоу|етъ
57,сѧ
107,за
931,гласъ
2579 2946,жені|ховъ
79,сі
180,оубо
1798,радость
460,моѣ
1401,ісплъні
57,сѧ
4293,ономоу
2275,подобаетъ
53 115,ра|сті
16,а
485,мнѣ
43 232 58,ні|зі|ті
57,сѧ
1387,грѧдъі
54,съ
2115,въіше
1089,надъ
840 89,въсѣ|мі
140,естъ
15,і
145 15,сѫ|і
74,отъ
1290,землѧ
179,от
1290,землѧ
140,естъ
15,і
179,от
1290,землѧ
1335,глетъ
979 15,грѧдѫ|і
179,от
1414,нбсе
1089,надъ
3752,всѣмі
140,естъ
234,еже
196,відѣ
15,і
270,слъіша
75,се
1967 218 514 217,послоу|шь|ствоу|етъ
15,і
743 675,съвѣдѣтель|ства
102,его
635,ніктоже
46,не
1732,пріемлетъ
78 2547,прі|емъі
119,емоу
2194 272,сьвѣдѣтель|ство
107 4738,за|печатьлѣ
86,ѣко
189,бъ
4519,істіненъ
593,есть
1576,въніде
258,ісъ
39,въ
533,градъ
1894 82 98 260,сама|ре|іс|кь
2506,наріцаемъі
427 298 110,соу|ха|рь
4214,іскрь
1190,въсі
1100,ѭже
307,дастъ
1480 2667,іа|ковь
1025 37,іосіф|оу
2003,сноу
1215,своемоу
103,бѣ
41,же
247,тоу
3027 3910,стоуде|нець
3128 927,іако|вль
258,ісъ
41,же
598 599,троу|ждъ
57,сѧ
74,отъ
702,пѫті
2598,сѣдѣаше
244,тако
47,на
3027 9 173,стоуде|н|ці
1448,годіна
41,же
103,бѣ
86,ѣко
71 4042,ше|стаа
15,і
338,пріде
683,жена
74,отъ
125 585 23,са|марі|ѧ
4923 127 38,почръ|па|тъ
1158,водъі
112,гла
444,еі
258,ісъ
1604,даждъ
89,мі
1252,піті
465,оученіці
66,бо
102,его
11 218 61,о|шь|лі
692,бѣахѫ
39,въ
533,градъ
55,да
3288 47,брашъ|на
1237 167,коуп|ѧтъ
112,гла
119,емоу
683,жена
2549 4742,самарѣ|нъіні
280,како
183,тъі
892,іюдеі
264,съі
490 106,просі|ші
37,оу
227,мене
1252,піті
1605,женъі
2549 108 276,самарѣ|нъі|нѧ
4842,сѫштѧ
46,не
3452 241,прікаса|ѭтъ
66,бо
57,сѧ
892,іюдеі
2549 46 8,самарѣ|не|х
1175,отвѣшта
258,ісъ
15,і
120,рече
444,еі
163,аште
141,бі
288 56,вѣдѣ|ла
1492,даръ
659,бжіі
15,і
292,кто
140,естъ
3847,глѧі
58,ті
1604,даждъ
89,мі
1252,піті
183,тъі
141,бі
490 56,просі|ла
37,оу
426,него
15,і
1384,далъ
58,ті
141,бі
1513,водѫ
1126,жівѫ
112,гла
119,емоу
683,жена
222,гі
43,ні
4923 127 35 1077,почръ|па|л|ніка
1108,імаші
15,і
3027 3910,стоуде|нець
140,естъ
1382 66 83,глѫ|бо|къ
179,от
266 91,кѫ|дѣ
180,оубо
1108,імаші
1513,водѫ
1126,жівѫ
613,еда
183,тъі
2381,боліі
243,есі
539,оца
47 1 49,на|ш|го
3128 64,іако|ва
182,іже
307,дастъ
378,намъ
3027 3910,стоуде|нець
131,сь
15,і
128,ть
144,із
426,него
1832,пітъ
15,і
2729,снве
102,его
15,і
468 58,ско|ті
102,его
474,отъвѣштавъ
258,ісъ
120,рече
444,еі
2269,всѣкъ
170 23 456,пі|ѧ|ѧі
74,отъ
1158,водъі
2462,сеѧ
39 1716 191 31,въ|ждѧ|жде|т
57,сѧ
323,пакъі
16,а
182,іже
170 217,пі|етъ
179,от
1158,водъі
1100,ѭже
582,азь
2848,дамъ
119,емоу
46,не
489,іматъ
39 1716 645,въ|ждѧ|даті
57,сѧ
60,вь
59 12,вѣ|к
68,нъ
878,вода
1100,ѭже
582,азь
2848,дамъ
119,емоу
273,бѫдетъ
39,въ
623,немъ
3795 301,істочь|нікъ
1158,водъі
39 315 36 417 567,въ|слѣ|п|лѭ|штѧѧ
39,въ
787,жівотъ
2266 329,вѣчъ|нъіі
112,гла
260,кь
321,немоу
683,жена
222,гі
1604,даждъ
89,мі
1275,сіѭ
1513,водѫ
55,да
43,ні
3272,жѧждѫ
43,ні
78 3943,прі|хождѫ
2073,сѣмо
4923 127 38,почръ|па|тъ
112,гла
444,еі
258,ісъ
733,іді
15,і
5010,прігласі
1182,мѫжа
435,своего
15,і
2594,пріді
2073,сѣмо
1175,отвѣшта
683,жена
15,і
120,рече
119,емоу
46,не
202 13,іма|м
1182,мѫжа
112,гла
444,еі
258,ісъ
800,добрѣ
120,рече
86,ѣко
1182,мѫжа
46,не
985,імамъ
885,пѧть
66,бо
1019,мѫжь
311 56,імѣ|ла
243,есі
15,і
377,нъінѣ
441,егоже
1108,імаші
3441,нѣсть
58,ті
1019,мѫжь
75,се
39,въ
731,істінѫ
120,рече
112,гла
119,емоу
683,жена
222,гі
2001,віждѫ
86,ѣко
45 100 12,пр|ро|к
243,есі
183,тъі
2389,оці
1330,наші
4432,поклонішѧ
39,въ
1663,горѣ
797,сеі
15,і
138,въі
1974,глете
86,ѣко
39,въ
3133 4232,ер|лмѣ
140,естъ
592,мѣсто
579,ідеже
5009,кланѣті
57,сѧ
2275,подобаетъ
112,гла
444,еі
258,ісъ
2643,жено
713,вѣрѫ
89,мі
792,імі
86,ѣко
1392,грѧдетъ
1448,годіна
246,егда
43,ні
39,въ
1663,горѣ
797,сеі
43,ні
39,въ
3133 35 2319,ер|л|мѣхъ
1424 65,поклоні|те
57,сѧ
1603,оцоу
138,въі
1645 65,кланѣ|те
57,сѧ
441,егоже
46,не
890,вѣсте
184,мъі
41,же
1645 286,кланѣ|емъ
57,сѧ
441,егоже
1375,вѣмъ
86,ѣко
2110 161,спсе|ніе
74,отъ
892,іюдеі
140,естъ
68,нъ
1392,грѧдетъ
1448,годіна
15,і
4613,ннѣ
140,естъ
246,егда
2318 220,істін|ніі
1893 9 475,покло|н|ніці
1893 276 128,покло|нѧ|ть
57,сѧ
1603,оцоу
4085,дхомъ
15,і
318 1204,істі|ноѭ
1383,ібо
638,оць
116 993,та|цѣхъ
2680,іштетъ
1645 1441,кланѣ|ѭштііхъ
57,сѧ
119,емоу
647,дхъ
140,естъ
189,бъ
182,іже
1645 217,кланѣ|етъ
57,сѧ
119,емоу
4085,дхомъ
15,і
318 1204,істі|ноѭ
1671,достоітъ
5009,кланѣті
57,сѧ
112,гла
119,емоу
683,жена
1432,вѣмь
86,ѣко
137 79 16,ме|сі|а
338 31,пріде|т
793 184,гле|мъі
62,хъ
15,і
246,егда
38,тъ
669,прідетъ
1833 38,възвѣсті|тъ
378,намъ
840,въсѣ
112,гла
444,еі
258,ісъ
582,азь
473,есмъ
3847,глѧі
54,съ
1081,тобоѭ
15,і
783,тогда
41,же
823,прідѫ
465,оученіці
102,его
15,і
405 3264,чоу|ждаахѫ
57,сѧ
86,ѣко
54,съ
4526,женоѭ
766,глааше
15,і
635,ніктоже
46,не
120,рече
1122,чесо
2686 106,іште|ші
61,лі
411,чьто
1390,глеші
131,сь
409,німъ
550,оставі
41,же
4279 54,водоно|съ
371,своі
683,жена
15,і
259,іде
39,въ
533,градъ
15,і
112,гла
269 313,чл|комъ
2508,прідѣте
1176,відіте
2100,члка
182,іже
120,рече
1964,мънѣ
516,всѣ
685,еліко
2857,сътворіхъ
613,еда
38,тъ
140,естъ
62,хъ
2548 146,ізідѫ|дѫ
41,же
144,із
698,града
15,і
410 2541,грѧ|дѣахѫ
260,кь
321,немоу
1699,междоу
41,же
2330,сімъ
2618,молѣахѫ
15,і
465,оученіці
102,его
556,глѭште
1120,оучітелю
32 599,ѣ|ждъ
274,онъ
41,же
120,рече
260,кь
409,німъ
582,азь
4520 69,браш|но
202 105 44,іма|ма|мъ
1146,ѣсті
441,егоже
138,въі
46,не
890,вѣсте
874,глаахѫ
41,же
465,оученіці
102,его
260,кь
356,себѣ
613,еда
4099,кьто
2250,прінесе
119,емоу
1146,ѣсті
112,гла
114,імъ
258,ісъ
278,мое
4520 69,браш|но
140,естъ
55,да
2082,творѭ
2754,волѭ
2158 2563,пось|посълавъшааго
142,мѧ
15,і
990 355,съвръ|шѫ
1128,дѣло
102,его
46,не
138,въі
61,лі
1974,глете
86,ѣко
721,еште
27,г
133 173,мѣ|ці
331,сѫтъ
15,і
3626,жѧтва
669,прідетъ
75,се
223,глѭ
207,вамъ
143 101 498,въз|ве|дѣте
437,очі
1271,ваші
15,і
1176,відіте
43 138,ні|въі
86,ѣко
476 138,пла|въі
145 31,сѫ|т
260,кь
352 3549,жѧ|твѣ
1062,юже
15,і
4007 15,жьнѧ|і
3295 146,мьз|дѫ
1732,пріемлетъ
15,і
131 1445 217,сь|біра|етъ
1021,плодъ
39,въ
787,жівотъ
3197,вѣчьнъі
55,да
4788,сѣѧі
39,въ
4697,коупѣ
938 217,радоу|етъ
57,сѧ
15,і
4007 15,жьнѧ|і
11,о
1863,семъ
66,бо
364,слово
140,естъ
1581 373,істінъ|ное
86,ѣко
574,інъ
140,естъ
4788,сѣѧі
15,і
574,інъ
140,естъ
4007 15,жьнѧ|і
582,азь
41,же
138,въі
3030 62,посьла|хъ
1579,жѧтъ
579,ідеже
138,въі
46,не
598 73 194,троу|ді|сте
57,сѧ
624,іні
598 1644,троу|дішѧ
57,сѧ
15,і
39,въ
2625,троудъ
123,іхъ
1576 65,въніде|те
179,от
698,града
41,же
402,того
765,мнозі
2573,вѣровашѧ
60,вь
104,нь
179,от
2549 9,самарѣ|н
107,за
364,слово
2254,женѣ
1426 1371,съвѣдѣтельствоу|ѭшті
86,ѣко
120,рече
89,мі
224,вьсѣ
685,еліко
2857,сътворіхъ
246,егда
41,же
823,прідѫ
83,къ
321,немоу
2549 46,самарѣ|не
2618,молѣахѫ
15,і
55,да
141,бі
109 1692,прѣ|бъілъ
37,оу
400,ніхъ
15,і
109 649,прѣ|бъіс
247,тоу
3395,дьва
416,дьні
15,і
765,мнозі
458,паче
2573,вѣровашѧ
107,за
364,слово
102,его
2254,женѣ
41,же
874,глаахѫ
86,ѣко
897,оуже
46,не
107,за
829,твоѭ
1071 146,бесѣ|дѫ
499 286,вѣроу|емъ
1485,самі
66,бо
4098,слъішахомъ
15,і
15,і
1375,вѣмъ
86,ѣко
131,сь
140,естъ
39,въ
731,істінѫ
559 54,сп|съ
3002,всего
704,міра
62,хъ
103,бѣ
1245,етеръ
658,црь
1019,мѫжь
441,егоже
325,снъ
806 148,болѣ|аше
39,въ
2327 20 47 1779,капе|р|на|оумѣ
131,сь
788,слъішавъ
86,ѣко
258,ісъ
338,пріде
179,от
4494,іюдеѧ
39,въ
2471,галілеѭ
259,іде
260,кь
321,немоу
15,і
1208 148,млѣ|аше
15,і
55,да
2474 188,сьні|детъ
15,і
1807 38,іцѣлі|тъ
560,сна
102,его
103,бѣ
66,бо
2700 23,оуміра|ѧ
15,і
120,рече
260,кь
321,немоу
258,ісъ
163,аште
606 220,знаме|ніі
3628,чоудесъ
46,не
1176,відіте
46,не
921,імате
867,вѣръі
975,ѧті
112,гла
260,кь
321,немоу
658,црь
1019,мѫжь
222,гі
2474 73,сьні|ді
443,прѣжде
55,да
46,не
2125,оумьретъ
1647,отрочѧ
278,мое
112,гла
260,кь
321,немоу
258,ісъ
733,іді
325,снъ
386,твоі
1202,жівъ
593,есть
15,і
713,вѣрѫ
286,емъ
1662,словесі
853,чкъ
234,еже
120,рече
119,емоу
258,ісъ
1437,ідѣаше
503,абіе
41,же
2567 251,съходѧ|штоу
119,емоу
75,се
2243,рабі
102,его
131 76 81 99,сь|рѣ|то|шѧ
15,і
1246,глште
86,ѣко
325,снъ
58,ті
1202,жівъ
593,есть
2568,въпрашааше
41,же
1881,вінъі
179,от
400,ніхъ
39,въ
2211,кѫѭ
3287,годінѫ
427 94 10,соу|лѣ|е
119,емоу
649,бъіс
390,рѣшѧ
41,же
119,емоу
86,ѣко
17 4495,в|чера
39,въ
3287,годінѫ
1458 164 2,сед|мѫ|ѭ
550,оставі
15,і
764,огнь
391,разоумѣ
41,же
1872,оцъ
102,его
86,ѣко
116,та
103,бѣ
1448,годіна
39,въ
3850,нѭже
120,рече
119,емоу
258,ісъ
1202,жівъ
140,естъ
325,снъ
386,твоі
15,і
749,вѣрова
548,самъ
15,і
403,домъ
102,его
1107,весь
75,се
323,пакъі
60 81 2947,вь|то|ріцеѭ
258,ісъ
2181,чоудо
212,сътворі
746,прішедъ
179,от
4494,іюдеѧ
17 2471,в|галілеѭ
1576,въніде
258,ісъ
39,въ
2227 1207,іер|лмъ
2744,вьзіде
258,ісъ
39,въ
2227 1207,іер|лмъ
140,естъ
41,же
39,въ
3133 35 2319,ер|л|мѣхъ
47,на
2265 1939,ов|чіі
3648 61,кѫпѣ|лі
407,ѣже
962 128,наріцае|ть
70 65 4217,ві|те|зда
885,пѧть
78 93 92,прі|тво|ръ
3199,імѫшті
39,въ
968,тѣхъ
41,же
3359,лежааше
2301,множьство
1792 528,болѧ|штііхъ
2543,слѣпъ
8 1948,х|ромъ
427 62,соу|хъ
185 1441,ча|ѭштііхъ
522 41 236,дві|же|ніѣ
39,въ
2078,водѣ
2130,англъ
66,бо
1873,гнъ
47,на
2780,всѣко
666,врѣмѧ
184 689,мъі|ѣше
57,сѧ
39,въ
3648 61,кѫпѣ|лі
15,і
2728 1991,възмѫ|штааше
1513,водѫ
15,і
11 1181,о|хождааше
15,і
182,іже
443,прѣжде
2709 1132,въла|жааше
51,по
2728 3193,възмѫ|штеніі
1158,водъі
2350 39,съдра|въ
3782,бъівааше
103,бѣ
41,же
247,тоу
1245,етеръ
269 260,чл|кь
27,г
15,і
18,з
94 31,лѣ|т
1166,імъі
39,въ
1091 262,недѫ|зѣ
2018,своемъ
275,сего
553,відѣвъ
258,ісъ
748 129,лежѧ|шта
15,і
391 60,разоумѣ|вь
86,ѣко
891,многа
1596,лѣта
1062,юже
1664,імѣаше
112,гла
119,емоу
1016,хоштеші
61,лі
162 35,цѣ|л
404,бъіті
1175,отвѣшта
119,емоу
3461 108,недѫжь|нъі
444,еі
222,гі
2100,члка
41,же
46,не
985,імамъ
55,да
246,егда
2728 2033,възмѫ|тітъ
57,сѧ
878,вода
1717 31,въвръже|т
142,мѧ
39,въ
3648 134,кѫпѣ|ль
246,егда
41,же
78 3943,прі|хождѫ
582,азь
574,інъ
443,прѣжде
227,мене
2709 232 31,въла|зі|т
112,гла
119,емоу
258,ісъ
2002,въстані
15,і
4164,възьмі
2384,одръ
386,твоі
15,і
733,іді
39,въ
403,домъ
386,твоі
15,і
503,абіе
4055,цѣль
649,бъіс
1119,члкъ
15,і
4244 31,възѧ|т
2384,одръ
371,своі
15,і
1181,хождааше
103,бѣ
41,же
919 116,сѫбо|та
39,въ
38,тъ
661,день
874,глаахѫ
41,же
892,іюдеі
2113 866 77,іцѣлѣ|въшоу|моу
919 116,сѫбо|та
140,естъ
15,і
46,не
1671,достоітъ
58,ті
143 975,въз|ѧті
11 412,о|дра
435,своего
274,онъ
41,же
1175,отвѣшта
114,імъ
182,іже
142,мѧ
212,сътворі
4204,цѣла
38,тъ
485,мнѣ
120,рече
4164,възьмі
2384,одръ
371,своі
15,і
922,ході
3075,въпросішѧ
41,же
15,і
292,кто
593,есть
269 260,чл|кь
4427,рекъі
281,тебѣ
4164,възьмі
2384,одръ
386,твоі
15,і
922,ході
2113 138,іцѣлѣ|въі
41,же
46,не
2164,вѣдѣаше
292,кто
140,естъ
258,ісъ
66,бо
2990,оуклоні
57,сѧ
1945,народоу
1423,сѫштоу
47,на
986,мѣстѣ
51,по
774,томъ
41,же
917,обрѣте
15,і
258,ісъ
39,въ
2498,цркві
15,і
120,рече
1889,емо
39,въ
75,се
162 121,цѣ|лъ
243,есі
12,к
546,томоу
46,не
4852 15,съгрѣша|і
55,да
46,не
1187,горе
58,ті
411,чьто
273,бѫдетъ
259,іде
41,же
1119,члкъ
15,і
376,повѣда
3613,іюдеомъ
86,ѣко
258,ісъ
140,естъ
182,іже
142,мѧ
212,сътворі
4204,цѣла
182,іже
15,і
212,сътворі
4204,цѣла
1872,оцъ
250,моі
90,до
1011,селѣ
472 217,дѣла|етъ
15,і
582,азь
472 2,дѣла|ѭ
275,сего
290,раді
458,паче
2117,іскаахѫ
1690,оубіті
15,і
86,ѣко
46,не
3798,тькмо
4370 76 148,раза|рѣ|аше
3434,сѫботъі
68,нъ
15,і
539,оца
435,своего
766,глааше
193,ба
53 3680,ра|венъ
57,сѧ
619,творѧ
347,боу
255,отъвѣшта
41,же
258,ісъ
15,і
120,рече
114,імъ
573,амін
573,амін
223,глѭ
207,вамъ
46,не
612,можетъ
991,творіті
325,снъ
11,о
356,себѣ
1150 178,нічесоже|со
163,аште
46,не
234,еже
1435,відітъ
539,оца
4312,творѧшта
407,ѣже
66,бо
274,онъ
880,творітъ
79,сі
15,і
325,снъ
830,такожде
880,творітъ
638,оць
66,бо
2422,любітъ
560,сна
15,і
516,всѣ
1189 217,показа|етъ
119,емоу
407,ѣже
548,самъ
880,творітъ
15,і
4107,больша
616,сіхъ
1189 217,показа|етъ
119,емоу
472,дѣла
55,да
138,въі
405 363,чоу|діте
57,сѧ
242,ѣкоже
66,бо
638,оць
1895 3479,въскрѣ|шаетъ
716 1440,мрът|въіѧ
15,і
111 759,жі|вітъ
244,тако
15,і
325,снъ
600,ѧже
1213,хоштетъ
111 1300,жі|віті
1872,оцъ
66,бо
46,не
3967,сѫдітъ
1567,нікомоуже
68,нъ
801,сѫдъ
1107,весь
307,дастъ
1827 70,сн|ві
55,да
1111,всі
153 345 31,чь|тѫ|т
560,сна
242,ѣкоже
153 2973,чь|тѫтъ
539,оца
182,іже
46,не
2101 38,чьте|тъ
560,сна
46,не
2101 38,чьте|тъ
539,оца
182,іже
15,і
374,посъла
573,амін
573,амін
223,глѭ
2271,вам
86,ѣко
477 456,слоуша|ѧі
1096,словесе
469,моего
15,і
713,вѣрѫ
521 245,ем|лѧ
374 17 3595,посъла|в|шоумоу
142,мѧ
202 31,іма|т
787,жівотъ
4548,вѣчънъі
15,і
47,на
801,сѫдъ
46,не
669,прідетъ
68,нъ
3875 31,прѣіде|т
179,от
131 420 58,сь|мръ|ті
60,вь
507 31,жіво|т
179,от
1841,съмръті
39,въ
787,жівотъ
3029 9,ам|н
573,амін
223,глѭ
207,вамъ
86,ѣко
477 456,слоуша|ѧі
1096,словесе
469,моего
15,і
713,вѣрѫ
521 245,ем|лѧ
374 866 77,посъла|въшоу|моу
142,мѧ
489,іматъ
787,жівотъ
4239 329,вѣч|нъіі
15,і
47,на
801,сѫдъ
46,не
669,прідетъ
68,нъ
4478,прѣідетъ
3029 9,ам|н
573,амін
223,глѭ
2271,вам
86,ѣко
1392,грѧдетъ
1448,годіна
15,і
4613,ннѣ
140,естъ
246,егда
716 1262,мрът|віі
4002,оуслъішѧтъ
2827,глас
560,сна
308 16,бжі|а
15,і
1092 248 15,оуслъіша|въше|і
11 1126 38,о|жівѫ|тъ
242,ѣкоже
66,бо
638,оць
787,жівотъ
489,іматъ
39,въ
356,себѣ
244,тако
307,дастъ
15,і
4174,снові
787,жівотъ
1673,імѣті
39,въ
356,себѣ
15,і
3080,область
307,дастъ
119,емоу
801,сѫдъ
991,творіті
86,ѣко
325,снъ
269 421,чл|чъ
140,естъ
46,не
1665 65,діві|те
57,сѧ
903,семоу
86,ѣко
410 63 31,грѧ|де|т
1448,годіна
39,въ
3850,нѭже
1190,въсі
3984,сѫштіі
39,въ
527 1675,гро|бѣхъ
4002,оуслъішѧтъ
2827,глас
560,сна
1179,бжіѣ
15,і
1479 406,ізі|дѫтъ
1397 3126,сътворь|шеі
1980 16,блага|а
52,во
1895 1063,въскрѣ|шеніе
1823,жівота
16,а
1397 3126,сътворь|шеі
4415 16,зьла|а
39,въ
1895 1063,въскрѣ|шеніе
145 55,сѫ|да
46,не
821,могѫ
231,азъ
11,о
356,себѣ
991,творіті
1150,нічесоже
242,ѣкоже
4642,слъішѫ
3753,сѫждѫ
15,і
801,сѫдъ
250,моі
651 63 9,правъ|де|н
140,естъ
86,ѣко
46,не
4273,іштѫ
4247,волѧ
1078,моеѧ
68,нъ
2754,волѭ
374 17 1144,посъла|в|шааго
142,мѧ
539,оца
242,ѣкоже
4642,слъішѫ
3753,сѫждѫ
15,і
801,сѫдъ
250,моі
4599,правьденъ
140,естъ
86,ѣко
46,не
4273,іштѫ
4247,волѧ
1078,моеѧ
68,нъ
4247,волѧ
2563,посълавъшааго
142,мѧ
539,оца
163,аште
231,азъ
1426 2,съвѣдѣтельствоу|ѭ
11,о
343,мьнѣ
547 2803 272,съвѣдѣ|телъ|ство
278,мое
481,нѣстъ
2318 69,істін|но
574,інъ
140,естъ
182,іже
1426 217,съвѣдѣтельствоу|етъ
11,о
343,мьнѣ
15,і
1432,вѣмь
86,ѣко
2318 69,істін|но
140,естъ
2426,съвѣдѣтельство
234,еже
131 17 91 398 514 217,сь|в|дѣ|тель|ствоу|етъ
11,о
343,мьнѣ
15,і
138,въі
374 194,посъла|сте
83,къ
4093,іоаноу
15,і
3333,съвѣдѣтельствова
11,о
1756,істінѣ
582,азь
41,же
46,не
179,от
1119,члкъ
547 2803 675,съвѣдѣ|телъ|ства
771 417,пріем|лѭ
68,нъ
79,сі
223,глѭ
55,да
138,въі
2110 43,спсе|ні
950,бѫдете
274,онъ
103,бѣ
2143 301,свѣтіль|нікъ
49 216,го|рѧ
15,і
341 229,свѣ|тѧ
138,въі
41,же
541 194,хотѣ|сте
963 2715,въздра|доваті
57,сѧ
39,въ
3287,годінѫ
4115 171 236,свь|тѣ|ніѣ
102,его
582,азь
41,же
985,імамъ
1866 65 35 272,сьвѣдѣ|те|л|ство
1529,боле
520 1710,іоа|нова
472,дѣла
990 139 2,съвръ|ша|ѭ
116,та
472,дѣла
231,азъ
2082,творѭ
407,ѣже
4758,съвѣдѣтельствоуѭтъ
11,о
1964,мънѣ
86,ѣко
638,оць
142,мѧ
374,посъла
15,і
3030 138,посьла|въі
142,мѧ
638,оць
15,і
38,тъ
2194 1481,сьвѣдѣтель|ствова
11,о
485,мнѣ
43,ні
1953,гласа
102,его
615,нікто
46,не
2335,слъішітъ
43,ні
196 236,відѣ|ніѣ
102,его
3352,відѣсте
15,і
1096,словесе
102,его
46,не
921,імате
779 625,прѣбъіва|ѭшта
39,въ
449,васъ
1006,зане
441,егоже
38,тъ
3030,посьла
903,семоу
138,въі
867,вѣръі
46,не
3987,емлете
2983 334,іспъіта|іте
3563,кьнігъі
15,і
86,ѣко
138,въі
3284,мьніте
1673,імѣті
17,в
43 8,ні|х
787,жівотъ
3789,вѣчьнъіі
15,і
183,тъі
331,сѫтъ
3739 2615,сьвѣдѣтельствоу|ѭштѧ
11,о
343,мьнѣ
15,і
46,не
1368,хоштете
1199,пріті
260,кь
485,мнѣ
55,да
1823,жівота
921,імате
1749,славъі
179,от
1119,члкъ
46,не
771 417,пріем|лѭ
68,нъ
391 62,разоумѣ|хъ
138,въі
86,ѣко
3248,бжіѧ
3127,любьве
46,не
921,імате
39,въ
356,себѣ
582,азь
1560,прідъ
39,въ
385,імѧ
539,оца
469,моего
15,і
46,не
771 2823,пріем|лете
227,мене
163,аште
574,інъ
669,прідетъ
39,въ
385,імѧ
340,свое
402,того
771 2823,пріем|лете
138,въі
280,како
138,въі
1898,можете
2480,вѣроваті
1090,славѫ
4266,дроугь
74,отъ
926,дроуга
771 35 310,пріем|л|ѭште
15,і
1749,славъі
407,ѣже
74,отъ
482 1297 172,іно|чѧда|аго
560,сна
1179,бжіѣ
46,не
2171,іштете
46,не
3284,мьніте
86,ѣко
582,азь
47,на
138,въі
997,рекѫ
260,кь
1603,оцоу
140,естъ
15,і
47,на
138,въі
793,гле
2278,мосі
47,на
2775,негоже
138,въі
3356 194,оупьва|сте
163,аште
66,бо
1728,бісте
713,вѣрѫ
202 61,іма|лі
2873 1024,мосе|ові
713,вѣрѫ
1728,бісте
4549,імѣлі
15,і
343,мьнѣ
11,о
485,мнѣ
66,бо
38,тъ
131 555,сь|піса
163,аште
61,лі
15,і
402,того
1688 152 44,кьні|га|мъ
867,вѣръі
46,не
3987,емлете
280,како
1780,моімъ
27 871,г|ломъ
713,вѣрѫ
2733,імете
51,по
616,сіхъ
259,іде
258,ісъ
47,на
2534,онь
1532,полъ
2570,морѣ
58 101 1775 126 382,ті|ве|ріѣ|дь|ска
86,ѣко
4849,відѣахѫ
1561,знаменіѣ
407,ѣже
2677,творѣаше
47,на
3461 565,недѫжь|нъііхъ
4792,възведъ
258,ісъ
437,очі
371,своі
15,і
553,відѣвъ
86,ѣко
2118,мъногъ
824,народъ
1392,грѧдетъ
321,немоу
112,гла
83,къ
1472 252,філі|поу
2815,чімъ
1237 114,коуп|імъ
2056,хлѣбъі
55,да
3533,ѣдѧтъ
495,сіі
75,се
41,же
766,глааше
2532 23,іскоуша|ѧ
15,і
548,самъ
66,бо
2164,вѣдѣаше
1272,чъто
1216,хотѣаше
933,сътворіті
255,отъвѣшта
119,емоу
1472 287,філі|пь
3235,дьвѣма
2915 105,съто|ма
2015 198,пѣнѧ|зь
720,хлѣбъ
46,не
1686 502,довъ|летъ
114,імъ
55,да
50 2407,ко|жъдо
123,іхъ
895,мало
411,чьто
1989,прііметъ
112,гла
119,емоу
358,едінъ
297,оть
951,оученікъ
102,его
317 1653 16,ан|дре|а
1829,братъ
2642,сімона
1876,петра
140,естъ
681 149 513,отро|чі|штъ
358,едінъ
802,сьде
182,іже
489,іматъ
885,пѧть
452 215,хлѣ|бь
23 153 861,ѧ|чь|нѣі
15,і
3129,двѣ
4335,ръібѣ
68,нъ
79,сі
411,чьто
331,сѫтъ
75 4238,се|лікоу
120,рече
41,же
258,ісъ
2340,сътворіте
3783,члкъі
143 117 150,въз|ле|шті
103,бѣ
41,же
487 64,трѣ|ва
891,многа
47,на
986,мѣстѣ
15,і
143 2576,въз|леже
180,оубо
1019,мѫжь
2185 871,чіс|ломъ
86,ѣко
33,д
2157 513,тъісѫ|штъ
